//--------------------------------------------------------------------------
// This file contains the data for the system names compression utility.
//
// As you can see it can contain C++ -style comments anywhere.
// One line consists of :
// systemname, proc/name flag, system name index [,optional funcname]
// Each field has to be separated by a comma
// The systemname field HAS to start in column 1
// The proc/name flag can be 0,1 or 2
// '0' means this is just a system name (like 'systemdict'), not an operator
// '1' means this is an operator
// '2'  '' but use the following name as the name for the function
//--------------------------------------------------------------------------

currenthalftone				,0, 280
currenthalftonephase		,0, 281
currentmiterlimit			,1, 282
currentobjectformat			,0, 283
currentpacking				,0, 284
currentscreen				,1, 285
currentstrokeadjust			,1, 286
currenttransfer				,1, 287
currentundercolorremoval	,0, 288
defaultmatrix				,1, 289
definefont					,1, 290
delelefile					,0, 291
detach						,0, 292
deviceinfo					,0, 293
dictstack					,1, 294
echo						,1, 295
erasepage					,0, 296
errordict					,0, 297

execstack					,1, 298
executeonly					,1, 299
exp							,1, 300
false						,0, 301
filenameforall				,1, 302
fileposition				,1, 303
fork						,0, 304
framedevice					,1, 305
grestoreall					,1, 306
handleerror					,0, 307
initclip					,1, 308
initgraphics				,1, 309
initmatrix					,1, 310
instroke					,0, 311
inustroke					,0, 312
join						,0, 313
kshow						,1, 314
ln							,1, 315
lock						,0, 316
log							,1, 317
mark						,1, 318
monitor						,0, 319
noaccess					,1, 320
notify						,0, 321
nulldevice					,1, 322
packedarray					,0, 323
quit						,1, 324
rand						,1, 325
rcheck						,1, 326
readonly					,1, 327
realtime					,0, 328
renamefile					,1, 329
renderbands					,1, 330
resetfile					,1, 331
reversepath					,1, 332
rootfont					,0, 333
rrand						,1, 334
run							,1, 335
scheck						,0, 336
setblackgeneration			,0, 337
setcachelimit				,1, 338
setcacheparams				,1, 339
setcolorscreen				,0, 340
setcolortransfer			,0, 341
setfileposition				,1, 342
setflat						,1, 343
sethalftone					,0, 344
sethalftonephase			,0, 345
setmiterlimit				,1, 346
setobjectformat				,0, 347
setpacking					,0, 348
setscreen					,1, 349
setstrokeadjust				,0, 350
settransfer					,1, 351
setucacheparams				,0, 352
setundercolorremoval		,0, 353
sin							,1, 354
sqrt						,1, 355
srand						,1, 356
stack 						,0, 357
status						,1, 358
statusdict 					,0, 359
true 						,0, 360
ucachestatus				,0, 361
undefinefont				,0, 362
usertime					,1, 363
ustrokepath					,0, 364
version						,0, 365
vmreclaim					,0, 366
vmstatus					,1, 367
wait						,0, 368
wcheck						,1, 369
xcheck						,1, 370
yield						,0, 371
defineuserobject			,0, 372
undefineuserobject			,0, 373
UserObjects					,0, 374
cleardictstack				,1, 375
A							,0, 376
B							,0, 377
C							,0, 378
D							,0, 379
E							,0, 380
F							,0, 381
G							,0, 382
H							,0, 383
I							,0, 384
J							,0, 385
K							,0, 386
L							,0, 387
M							,0, 388
N							,0, 389
O							,0, 390
P							,0, 391
Q							,0, 392
R							,0, 393
S							,0, 394
T							,0, 395
U							,0, 396
V							,0, 397
W							,0, 398
X							,0, 399
Y							,0, 400
Z							,0, 401
a							,0, 402
b							,0, 403
c							,0, 404
d							,0, 405
e							,0, 406
f							,0, 407
g							,0, 408
h							,0, 409
i							,0, 410
j							,0, 411
k							,0, 412
l							,0, 413
m							,0, 414
n							,0, 415
o							,0, 416
p							,0, 417
q							,0, 418
r							,0, 419
s							,0, 420
t							,0, 421
u							,0, 422
v							,0, 423
w							,0, 424
x							,0, 425
y							,0, 426
z							,0, 427
setvmthreshold				,0, 428
klugeoff					,1, 900
